#       r             V(r)
  1.67731314e-05  -2.38476639e+06
  1.69417042e-05  -2.36103757e+06
  1.71119711e-05  -2.33754485e+06
  1.72839493e-05  -2.31428589e+06
  1.74576559e-05  -2.29125836e+06
  1.76331082e-05  -2.26845996e+06
  1.78103239e-05  -2.24588841e+06
  1.79893206e-05  -2.22354144e+06
  1.81701163e-05  -2.20141684e+06
  1.83527290e-05  -2.17951237e+06
  1.85371770e-05  -2.15782586e+06
  1.87234787e-05  -2.13635514e+06
  1.89116528e-05  -2.11509805e+06
  1.91017181e-05  -2.09405247e+06
  1.92936936e-05  -2.07321630e+06
  1.94875984e-05  -2.05258745e+06
  1.96834520e-05  -2.03216387e+06
  1.98812740e-05  -2.01194350e+06
  2.00810841e-05  -1.99192433e+06
  2.02829024e-05  -1.97210435e+06
  2.04867489e-05  -1.95248158e+06
  2.06926442e-05  -1.93305407e+06
  2.09006087e-05  -1.91381986e+06
  2.11106633e-05  -1.89477703e+06
  2.13228290e-05  -1.87592368e+06
  2.15371270e-05  -1.85725793e+06
  2.17535788e-05  -1.83877791e+06
  2.19722059e-05  -1.82048176e+06
  2.21930302e-05  -1.80236766e+06
  2.24160739e-05  -1.78443381e+06
  2.26413591e-05  -1.76667839e+06
  2.28689086e-05  -1.74909965e+06
  2.30987449e-05  -1.73169582e+06
  2.33308912e-05  -1.71446516e+06
  2.35653705e-05  -1.69740594e+06
  2.38022065e-05  -1.68051647e+06
  2.40414226e-05  -1.66379505e+06
  2.42830429e-05  -1.64724002e+06
  2.45270916e-05  -1.63084970e+06
  2.47735929e-05  -1.61462248e+06
  2.50225717e-05  -1.59855672e+06
  2.52740527e-05  -1.58265081e+06
  2.55280612e-05  -1.56690317e+06
  2.57846224e-05  -1.55131223e+06
  2.60437622e-05  -1.53587641e+06
  2.63055064e-05  -1.52059419e+06
  2.65698811e-05  -1.50546402e+06
  2.68369128e-05  -1.49048440e+06
  2.71066283e-05  -1.47565384e+06
  2.73790544e-05  -1.46097083e+06
  2.76542185e-05  -1.44643393e+06
  2.79321480e-05  -1.43204167e+06
  2.82128708e-05  -1.41779262e+06
  2.84964148e-05  -1.40368535e+06
  2.87828086e-05  -1.38971845e+06
  2.90720806e-05  -1.37589052e+06
  2.93642599e-05  -1.36220018e+06
  2.96593756e-05  -1.34864606e+06
  2.99574573e-05  -1.33522681e+06
  3.02585347e-05  -1.32194108e+06
  3.05626381e-05  -1.30878754e+06
  3.08697977e-05  -1.29576489e+06
  3.11800443e-05  -1.28287181e+06
  3.14934090e-05  -1.27010703e+06
  3.18099230e-05  -1.25746925e+06
  3.21296180e-05  -1.24495722e+06
  3.24525260e-05  -1.23256969e+06
  3.27786794e-05  -1.22030542e+06
  3.31081106e-05  -1.20816318e+06
  3.34408526e-05  -1.19614175e+06
  3.37769388e-05  -1.18423994e+06
  3.41164026e-05  -1.17245656e+06
  3.44592782e-05  -1.16079042e+06
  3.48055997e-05  -1.14924036e+06
  3.51554018e-05  -1.13780523e+06
  3.55087194e-05  -1.12648388e+06
  3.58655880e-05  -1.11527518e+06
  3.62260432e-05  -1.10417800e+06
  3.65901209e-05  -1.09319125e+06
  3.69578578e-05  -1.08231381e+06
  3.73292904e-05  -1.07154461e+06
  3.77044560e-05  -1.06088256e+06
  3.80833921e-05  -1.05032661e+06
  3.84661366e-05  -1.03987568e+06
  3.88527277e-05  -1.02952875e+06
  3.92432041e-05  -1.01928476e+06
  3.96376048e-05  -1.00914271e+06
  4.00359694e-05  -9.99101574e+05
  4.04383376e-05  -9.89160347e+05
  4.08447496e-05  -9.79318037e+05
  4.12552462e-05  -9.69573660e+05
  4.16698683e-05  -9.59926240e+05
  4.20886574e-05  -9.50374815e+05
  4.25116555e-05  -9.40918427e+05
  4.29389047e-05  -9.31556133e+05
  4.33704479e-05  -9.22286994e+05
  4.38063281e-05  -9.13110085e+05
  4.42465890e-05  -9.04024488e+05
  4.46912746e-05  -8.95029294e+05
  4.51404294e-05  -8.86123604e+05
  4.55940983e-05  -8.77306527e+05
  4.60523266e-05  -8.68577181e+05
  4.65151602e-05  -8.59934694e+05
  4.69826453e-05  -8.51378200e+05
  4.74548287e-05  -8.42906846e+05
  4.79317577e-05  -8.34519783e+05
  4.84134799e-05  -8.26216172e+05
  4.89000434e-05  -8.17995184e+05
  4.93914970e-05  -8.09855996e+05
  4.98878898e-05  -8.01797794e+05
  5.03892715e-05  -7.93819772e+05
  5.08956920e-05  -7.85921134e+05
  5.14072023e-05  -7.78101088e+05
  5.19238532e-05  -7.70358853e+05
  5.24456966e-05  -7.62693654e+05
  5.29727846e-05  -7.55104725e+05
  5.35051700e-05  -7.47591308e+05
  5.40429059e-05  -7.40152650e+05
  5.45860461e-05  -7.32788008e+05
  5.51346450e-05  -7.25496646e+05
  5.56887574e-05  -7.18277833e+05
  5.62484387e-05  -7.11130849e+05
  5.68137449e-05  -7.04054979e+05
  5.73847325e-05  -6.97049515e+05
  5.79614587e-05  -6.90113757e+05
  5.85439810e-05  -6.83247010e+05
  5.91323578e-05  -6.76448589e+05
  5.97266479e-05  -6.69717813e+05
  6.03269107e-05  -6.63054009e+05
  6.09332062e-05  -6.56456512e+05
  6.15455951e-05  -6.49924660e+05
  6.21641386e-05  -6.43457802e+05
  6.27888986e-05  -6.37055290e+05
  6.34199376e-05  -6.30716484e+05
  6.40573185e-05  -6.24440750e+05
  6.47011053e-05  -6.18227460e+05
  6.53513622e-05  -6.12075994e+05
  6.60081543e-05  -6.05985737e+05
  6.66715473e-05  -5.99956078e+05
  6.73416075e-05  -5.93986415e+05
  6.80184019e-05  -5.88076151e+05
  6.87019982e-05  -5.82224696e+05
  6.93924647e-05  -5.76431463e+05
  7.00898706e-05  -5.70695875e+05
  7.07942855e-05  -5.65017356e+05
  7.15057799e-05  -5.59395339e+05
  7.22244250e-05  -5.53829262e+05
  7.29502925e-05  -5.48318569e+05
  7.36834551e-05  -5.42862708e+05
  7.44239862e-05  -5.37461134e+05
  7.51719596e-05  -5.32113306e+05
  7.59274504e-05  -5.26818691e+05
  7.66905340e-05  -5.21576757e+05
  7.74612866e-05  -5.16386982e+05
  7.82397855e-05  -5.11248845e+05
  7.90261084e-05  -5.06161834e+05
  7.98203340e-05  -5.01125440e+05
  8.06225417e-05  -4.96139158e+05
  8.14328117e-05  -4.91202491e+05
  8.22512251e-05  -4.86314945e+05
  8.30778637e-05  -4.81476030e+05
  8.39128101e-05  -4.76685264e+05
  8.47561478e-05  -4.71942166e+05
  8.56079613e-05  -4.67246263e+05
  8.64683356e-05  -4.62597085e+05
  8.73373568e-05  -4.57994167e+05
  8.82151118e-05  -4.53437049e+05
  8.91016885e-05  -4.48925275e+05
  8.99971753e-05  -4.44458394e+05
  9.09016620e-05  -4.40035959e+05
  9.18152389e-05  -4.35657528e+05
  9.27379973e-05  -4.31322663e+05
  9.36700297e-05  -4.27030931e+05
  9.46114292e-05  -4.22781902e+05
  9.55622898e-05  -4.18575152e+05
  9.65227068e-05  -4.14410260e+05
  9.74927761e-05  -4.10286809e+05
  9.84725948e-05  -4.06204387e+05
  9.94622609e-05  -4.02162586e+05
  1.00461873e-04  -3.98161001e+05
  1.01471532e-04  -3.94199233e+05
  1.02491338e-04  -3.90276885e+05
  1.03521393e-04  -3.86393565e+05
  1.04561800e-04  -3.82548885e+05
  1.05612664e-04  -3.78742460e+05
  1.06674089e-04  -3.74973909e+05
  1.07746181e-04  -3.71242857e+05
  1.08829048e-04  -3.67548929e+05
  1.09922798e-04  -3.63891756e+05
  1.11027541e-04  -3.60270972e+05
  1.12143386e-04  -3.56686216e+05
  1.13270446e-04  -3.53137129e+05
  1.14408833e-04  -3.49623356e+05
  1.15558661e-04  -3.46144545e+05
  1.16720044e-04  -3.42700349e+05
  1.17893100e-04  -3.39290424e+05
  1.19077946e-04  -3.35914428e+05
  1.20274699e-04  -3.32572024e+05
  1.21483480e-04  -3.29262877e+05
  1.22704409e-04  -3.25986656e+05
  1.23937609e-04  -3.22743035e+05
  1.25183203e-04  -3.19531688e+05
  1.26441315e-04  -3.16352295e+05
  1.27712071e-04  -3.13204537e+05
  1.28995599e-04  -3.10088099e+05
  1.30292026e-04  -3.07002671e+05
  1.31601483e-04  -3.03947944e+05
  1.32924099e-04  -3.00923611e+05
  1.34260009e-04  -2.97929371e+05
  1.35609344e-04  -2.94964924e+05
  1.36972241e-04  -2.92029974e+05
  1.38348835e-04  -2.89124227e+05
  1.39739264e-04  -2.86247393e+05
  1.41143667e-04  -2.83399184e+05
  1.42562184e-04  -2.80579315e+05
  1.43994958e-04  -2.77787504e+05
  1.45442131e-04  -2.75023473e+05
  1.46903849e-04  -2.72286943e+05
  1.48380257e-04  -2.69577643e+05
  1.49871504e-04  -2.66895301e+05
  1.51377737e-04  -2.64239648e+05
  1.52899109e-04  -2.61610420e+05
  1.54435770e-04  -2.59007352e+05
  1.55987876e-04  -2.56430186e+05
  1.57555580e-04  -2.53878663e+05
  1.59139040e-04  -2.51352528e+05
  1.60738414e-04  -2.48851529e+05
  1.62353862e-04  -2.46375415e+05
  1.63985545e-04  -2.43923938e+05
  1.65633627e-04  -2.41496855e+05
  1.67298273e-04  -2.39093921e+05
  1.68979648e-04  -2.36714897e+05
  1.70677922e-04  -2.34359544e+05
  1.72393264e-04  -2.32027628e+05
  1.74125845e-04  -2.29718914e+05
  1.75875839e-04  -2.27433173e+05
  1.77643420e-04  -2.25170175e+05
  1.79428766e-04  -2.22929694e+05
  1.81232055e-04  -2.20711507e+05
  1.83053468e-04  -2.18515390e+05
  1.84893186e-04  -2.16341126e+05
  1.86751393e-04  -2.14188496e+05
  1.88628276e-04  -2.12057285e+05
  1.90524022e-04  -2.09947279e+05
  1.92438820e-04  -2.07858269e+05
  1.94372862e-04  -2.05790045e+05
  1.96326342e-04  -2.03742400e+05
  1.98299454e-04  -2.01715129e+05
  2.00292397e-04  -1.99708030e+05
  2.02305369e-04  -1.97720902e+05
  2.04338572e-04  -1.95753546e+05
  2.06392209e-04  -1.93805765e+05
  2.08466485e-04  -1.91877366e+05
  2.10561608e-04  -1.89968154e+05
  2.12677787e-04  -1.88077939e+05
  2.14815235e-04  -1.86206533e+05
  2.16974164e-04  -1.84353747e+05
  2.19154790e-04  -1.82519396e+05
  2.21357332e-04  -1.80703298e+05
  2.23582011e-04  -1.78905270e+05
  2.25829047e-04  -1.77125133e+05
  2.28098667e-04  -1.75362708e+05
  2.30391096e-04  -1.73617820e+05
  2.32706566e-04  -1.71890294e+05
  2.35045305e-04  -1.70179957e+05
  2.37407550e-04  -1.68486638e+05
  2.39793536e-04  -1.66810168e+05
  2.42203501e-04  -1.65150379e+05
  2.44637686e-04  -1.63507106e+05
  2.47096336e-04  -1.61880183e+05
  2.49579695e-04  -1.60269448e+05
  2.52088013e-04  -1.58674740e+05
  2.54621540e-04  -1.57095900e+05
  2.57180529e-04  -1.55532770e+05
  2.59765236e-04  -1.53985193e+05
  2.62375920e-04  -1.52453015e+05
  2.65012842e-04  -1.50936082e+05
  2.67676265e-04  -1.49434243e+05
  2.70366456e-04  -1.47947347e+05
  2.73083684e-04  -1.46475247e+05
  2.75828221e-04  -1.45017794e+05
  2.78600341e-04  -1.43574842e+05
  2.81400321e-04  -1.42146249e+05
  2.84228441e-04  -1.40731870e+05
  2.87084984e-04  -1.39331564e+05
  2.89970236e-04  -1.37945192e+05
  2.92884486e-04  -1.36572615e+05
  2.95828024e-04  -1.35213694e+05
  2.98801145e-04  -1.33868296e+05
  3.01804146e-04  -1.32536284e+05
  3.04837328e-04  -1.31217526e+05
  3.07900994e-04  -1.29911890e+05
