#       r             R(r)          X(r)=rR(r)          e
  1.677313e-05   1.788255e+02   2.999463e-03  -4.000000e+02
  1.694170e-05   1.788249e+02   3.029598e-03  -4.000000e+02
  1.711197e-05   1.788242e+02   3.060035e-03  -4.000000e+02
  1.728395e-05   1.788236e+02   3.090779e-03  -4.000000e+02
  1.745766e-05   1.788230e+02   3.121831e-03  -4.000000e+02
  1.763311e-05   1.788224e+02   3.153194e-03  -4.000000e+02
  1.781032e-05   1.788217e+02   3.184873e-03  -4.000000e+02
  1.798932e-05   1.788211e+02   3.216870e-03  -4.000000e+02
  1.817012e-05   1.788205e+02   3.249189e-03  -4.000000e+02
  1.835273e-05   1.788198e+02   3.281831e-03  -4.000000e+02
  1.853718e-05   1.788191e+02   3.314802e-03  -4.000000e+02
  1.872348e-05   1.788185e+02   3.348104e-03  -4.000000e+02
  1.891165e-05   1.788178e+02   3.381740e-03  -4.000000e+02
  1.910172e-05   1.788171e+02   3.415714e-03  -4.000000e+02
  1.929369e-05   1.788164e+02   3.450030e-03  -4.000000e+02
  1.948760e-05   1.788157e+02   3.484689e-03  -4.000000e+02
  1.968345e-05   1.788150e+02   3.519697e-03  -4.000000e+02
  1.988127e-05   1.788143e+02   3.555057e-03  -4.000000e+02
  2.008108e-05   1.788136e+02   3.590771e-03  -4.000000e+02
  2.028290e-05   1.788129e+02   3.626845e-03  -4.000000e+02
  2.048675e-05   1.788122e+02   3.663280e-03  -4.000000e+02
  2.069264e-05   1.788114e+02   3.700081e-03  -4.000000e+02
  2.090061e-05   1.788107e+02   3.737252e-03  -4.000000e+02
  2.111066e-05   1.788099e+02   3.774797e-03  -4.000000e+02
  2.132283e-05   1.788092e+02   3.812718e-03  -4.000000e+02
  2.153713e-05   1.788084e+02   3.851020e-03  -4.000000e+02
  2.175358e-05   1.788076e+02   3.889706e-03  -4.000000e+02
  2.197221e-05   1.788069e+02   3.928781e-03  -4.000000e+02
  2.219303e-05   1.788061e+02   3.968249e-03  -4.000000e+02
  2.241607e-05   1.788053e+02   4.008112e-03  -4.000000e+02
  2.264136e-05   1.788045e+02   4.048376e-03  -4.000000e+02
  2.286891e-05   1.788037e+02   4.089044e-03  -4.000000e+02
  2.309874e-05   1.788028e+02   4.130121e-03  -4.000000e+02
  2.333089e-05   1.788020e+02   4.171610e-03  -4.000000e+02
  2.356537e-05   1.788012e+02   4.213516e-03  -4.000000e+02
  2.380221e-05   1.788003e+02   4.255842e-03  -4.000000e+02
  2.404142e-05   1.787995e+02   4.298593e-03  -4.000000e+02
